BACnet Name,BACnet Type,Object ID,Description
FC27\Medium Speed Fan Output,binary-input,"<binary-input,     163>",Estat Velocitat Mitja Ventilador
FC27\Occupied Cool Setpoint,analog-input,"<analog-input,     151>",Consigna Real Ocupació Fred
FC27\Occupied Heat Setpoint,analog-input,"<analog-input,     150>",Consigna Real Ocupació Calor
FC27\Room Humidity,analog-input,"<analog-input,     149>",Humitat de Sala
FC27\Room Temperature,analog-input,"<analog-input,     148>",Temperatura de Sala
FC27\Selector,analog-output,"<analog-output,     208>","0:Off, 1:Detector, 2:Horari"
FC27\SelGenLoc,binary-output,"<binary-output,      50>","Consigna Aplicada, 0:General, 1:Local"
FC27\SelHorari,analog-output,"<analog-output,     209>",Selector Horari (1-20)
FC27\System Mode,multi-state-input,"<multi-state-input,      56>","Mode de funcionament 1:Off, 2:Auto, 3:Fred, 4:Calor"
FC28\CngaLocalE,analog-output,"<analog-output,     215>",Consigna Local Estiu
FC28\CngaLocalH,analog-output,"<analog-output,     214>",Consigna Local Hivern
FC28\Cooling Output,binary-input,"<binary-input,     166>",Estat Vàlvula
FC28\EffectOcc,multi-state-input,"<multi-state-input,      57>",Estat D'Ocupació
FC28\High Speed Fan Output,binary-input,"<binary-input,     165>",Estat Velocitat Alta Ventilador
FC28\Low SpeedFan Output,binary-input,"<binary-input,     164>",Estat Velocitat Baixa Ventilador
FC28\Medium Speed Fan Output,binary-input,"<binary-input,     167>",Estat Velocitat Mitja Ventilador
FC28\Occupied Cool Setpoint,analog-input,"<analog-input,     155>",Consigna Real Ocupació Fred
FC28\Occupied Heat Setpoint,analog-input,"<analog-input,     154>",Consigna Real Ocupació Calor
FC28\Room Humidity,analog-input,"<analog-input,     153>",Humitat de Sala
FC28\Room Temperature,analog-input,"<analog-input,     152>",Temperatura de Sala
FC28\Selector,analog-output,"<analog-output,     212>","0:Off, 1:Detector, 2:Horari"
FC28\SelGenLoc,binary-output,"<binary-output,      51>","Consigna Aplicada, 0:General, 1:Local"
FC28\SelHorari,analog-output,"<analog-output,     213>",Selector Horari (1-20)
FC28\System Mode,multi-state-input,"<multi-state-input,      58>","Mode de funcionament 1:Off, 2:Auto, 3:Fred, 4:Calor"
FC29\CngaLocalE,analog-output,"<analog-output,     219>",Consigna Local Estiu
FC29\CngaLocalH,analog-output,"<analog-output,     218>",Consigna Local Hivern
FC29\Cooling Output,binary-input,"<binary-input,     170>",Estat Vàlvula
FC29\EffectOcc,multi-state-input,"<multi-state-input,      59>",Estat D'Ocupació
FC29\High Speed Fan Output,binary-input,"<binary-input,     169>",Estat Velocitat Alta Ventilador
FC29\Low SpeedFan Output,binary-input,"<binary-input,     168>",Estat Velocitat Baixa Ventilador
FC29\Medium Speed Fan Output,binary-input,"<binary-input,     171>",Estat Velocitat Mitja Ventilador
FC29\Occupied Cool Setpoint,analog-input,"<analog-input,     159>",Consigna Real Ocupació Fred
FC29\Occupied Heat Setpoint,analog-input,"<analog-input,     158>",Consigna Real Ocupació Calor
FC29\Room Humidity,analog-input,"<analog-input,     157>",Humitat de Sala
FC29\Room Temperature,analog-input,"<analog-input,     156>",Temperatura de Sala
FC29\Selector,analog-output,"<analog-output,     216>","0:Off, 1:Detector, 2:Horari"
FC29\SelGenLoc,binary-output,"<binary-output,      52>","Consigna Aplicada, 0:General, 1:Local"
FC29\SelHorari,analog-output,"<analog-output,     217>",Selector Horari (1-20)
FC29\System Mode,multi-state-input,"<multi-state-input,      60>","Mode de funcionament 1:Off, 2:Auto, 3:Fred, 4:Calor"
FC30\CngaLocalE,analog-output,"<analog-output,     223>",Consigna Local Estiu
FC30\CngaLocalH,analog-output,"<analog-output,     222>",Consigna Local Hivern
FC30\Cooling Output,binary-input,"<binary-input,     175>",Estat Vàlvula
FC30\EffectOcc,multi-state-input,"<multi-state-input,      62>",Estat D'Ocupació
FC30\High Speed Fan Output,binary-input,"<binary-input,     174>",Estat Velocitat Alta Ventilador
FC30\Low SpeedFan Output,binary-input,"<binary-input,     173>",Estat Velocitat Baixa Ventilador
FC30\Medium Speed Fan Output,binary-input,"<binary-input,     172>",Estat Velocitat Mitja Ventilador
FC30\Occupied Cool Setpoint,analog-input,"<analog-input,     163>",Consigna Real Ocupació Fred
FC30\Occupied Heat Setpoint,analog-input,"<analog-input,     162>",Consigna Real Ocupació Calor
FC30\Room Humidity,analog-input,"<analog-input,     161>",Humitat de Sala
FC30\Room Temperature,analog-input,"<analog-input,     160>",Temperatura de Sala
FC30\Selector,analog-output,"<analog-output,     220>","0:Off, 1:Detector, 2:Horari"
FC30\SelGenLoc,binary-output,"<binary-output,      53>","Consigna Aplicada, 0:General, 1:Local"
FC30\SelHorari,analog-output,"<analog-output,     221>",Selector Horari (1-20)
FC30\System Mode,multi-state-input,"<multi-state-input,      61>","Mode de funcionament 1:Off, 2:Auto, 3:Fred, 4:Calor"
FC31\CngaLocalE,analog-output,"<analog-output,     224>",Consigna Local Estiu
FC31\CngaLocalH,analog-output,"<analog-output,     225>",Consigna Local Hivern
FC31\Cooling Output,binary-input,"<binary-input,     176>",Estat Vàlvula
FC31\EffectOcc,multi-state-input,"<multi-state-input,      63>",Estat D'Ocupació
FC31\High Speed Fan Output,binary-input,"<binary-input,     177>",Estat Velocitat Alta Ventilador
FC31\Low SpeedFan Output,binary-input,"<binary-input,     178>",Estat Velocitat Baixa Ventilador
FC31\Medium Speed Fan Output,binary-input,"<binary-input,     179>",Estat Velocitat Mitja Ventilador
FC31\Occupied Cool Setpoint,analog-input,"<analog-input,     164>",Consigna Real Ocupació Fred
FC31\Occupied Heat Setpoint,analog-input,"<analog-input,     165>",Consigna Real Ocupació Calor
FC31\Room Humidity,analog-input,"<analog-input,     166>",Humitat de Sala
FC31\Room Temperature,analog-input,"<analog-input,     167>",Temperatura de Sala
FC31\Selector,analog-output,"<analog-output,     227>","0:Off, 1:Detector, 2:Horari"
FC31\SelGenLoc,binary-output,"<binary-output,      54>","Consigna Aplicada, 0:General, 1:Local"
FC31\SelHorari,analog-output,"<analog-output,     226>",Selector Horari (1-20)
FC31\System Mode,multi-state-input,"<multi-state-input,      64>","Mode de funcionament 1:Off, 2:Auto, 3:Fred, 4:Calor"
FC32\CngaLocalE,analog-output,"<analog-output,     231>",Consigna Local Estiu
FC32\CngaLocalH,analog-output,"<analog-output,     230>",Consigna Local Hivern
FC32\Cooling Output,binary-input,"<binary-input,     182>",Estat Vàlvula
FC32\EffectOcc,multi-state-input,"<multi-state-input,      65>",Estat D'Ocupació
FC32\High Speed Fan Output,binary-input,"<binary-input,     181>",Estat Velocitat Alta Ventilador
FC32\Low SpeedFan Output,binary-input,"<binary-input,     180>",Estat Velocitat Baixa Ventilador
FC32\Medium Speed Fan Output,binary-input,"<binary-input,     183>",Estat Velocitat Mitja Ventilador
FC32\Occupied Cool Setpoint,analog-input,"<analog-input,     171>",Consigna Real Ocupació Fred
FC32\Occupied Heat Setpoint,analog-input,"<analog-input,     170>",Consigna Real Ocupació Calor
FC32\Room Humidity,analog-input,"<analog-input,     169>",Humitat de Sala
FC32\Room Temperature,analog-input,"<analog-input,     168>",Temperatura de Sala
FC32\Selector,analog-output,"<analog-output,     228>","0:Off, 1:Detector, 2:Horari"
FC32\SelGenLoc,binary-output,"<binary-output,      55>","Consigna Aplicada, 0:General, 1:Local"
FC32\SelHorari,analog-output,"<analog-output,     229>",Selector Horari (1-20)
FC32\System Mode,multi-state-input,"<multi-state-input,      66>","Mode de funcionament 1:Off, 2:Auto, 3:Fred, 4:Calor"
FC33\CngaLocalE,analog-output,"<analog-output,     235>",Consigna Local Estiu
FC33\CngaLocalH,analog-output,"<analog-output,     234>",Consigna Local Hivern
FC33\Cooling Output,binary-input,"<binary-input,     186>",Estat Vàlvula
FC33\EffectOcc,multi-state-input,"<multi-state-input,      67>",Estat D'Ocupació
FC33\High Speed Fan Output,binary-input,"<binary-input,     185>",Estat Velocitat Alta Ventilador
FC33\Low SpeedFan Output,binary-input,"<binary-input,     184>",Estat Velocitat Baixa Ventilador
FC33\Medium Speed Fan Output,binary-input,"<binary-input,     187>",Estat Velocitat Mitja Ventilador
FC33\Occupied Cool Setpoint,analog-input,"<analog-input,     174>",Consigna Real Ocupació Fred
FC33\Occupied Heat Setpoint,analog-input,"<analog-input,     173>",Consigna Real Ocupació Calor
FC33\Room Humidity,analog-input,"<analog-input,     172>",Humitat de Sala
FC33\Room Temperature,analog-input,"<analog-input,     175>",Temperatura de Sala
FC33\Selector,analog-output,"<analog-output,     232>","0:Off, 1:Detector, 2:Horari"
FC33\SelGenLoc,binary-output,"<binary-output,      56>","Consigna Aplicada, 0:General, 1:Local"
FC33\SelHorari,analog-output,"<analog-output,     233>",Selector Horari (1-20)
FC33\System Mode,multi-state-input,"<multi-state-input,      68>","Mode de funcionament 1:Off, 2:Auto, 3:Fred, 4:Calor"
FC34\CngaLocalE,analog-output,"<analog-output,     239>",Consigna Local Estiu
FC34\CngaLocalH,analog-output,"<analog-output,     238>",Consigna Local Hivern
FC34\Cooling Output,binary-input,"<binary-input,     190>",Estat Vàlvula
FC34\EffectOcc,multi-state-input,"<multi-state-input,      69>",Estat D'Ocupació
FC34\High Speed Fan Output,binary-input,"<binary-input,     189>",Estat Velocitat Alta Ventilador
FC34\Low SpeedFan Output,binary-input,"<binary-input,     188>",Estat Velocitat Baixa Ventilador
FC34\Medium Speed Fan Output,binary-input,"<binary-input,     191>",Estat Velocitat Mitja Ventilador
FC34\Occupied Cool Setpoint,analog-input,"<analog-input,     179>",Consigna Real Ocupació Fred
FC34\Occupied Heat Setpoint,analog-input,"<analog-input,     178>",Consigna Real Ocupació Calor
FC34\Room Humidity,analog-input,"<analog-input,     177>",Humitat de Sala
FC34\Room Temperature,analog-input,"<analog-input,     176>",Temperatura de Sala
FC34\Selector,analog-output,"<analog-output,     236>","0:Off, 1:Detector, 2:Horari"
FC34\SelGenLoc,binary-output,"<binary-output,      57>","Consigna Aplicada, 0:General, 1:Local"
FC34\SelHorari,analog-output,"<analog-output,     237>",Selector Horari (1-20)
FC34\System Mode,multi-state-input,"<multi-state-input,      70>","Mode de funcionament 1:Off, 2:Auto, 3:Fred, 4:Calor"
FC35\CngaLocalE,analog-output,"<analog-output,     243>",Consigna Local Estiu
FC35\CngaLocalH,analog-output,"<analog-output,     242>",Consigna Local Hivern
FC35\Cooling Output,binary-input,"<binary-input,     194>",Estat Vàlvula
FC35\EffectOcc,multi-state-input,"<multi-state-input,      71>",Estat D'Ocupació
FC35\High Speed Fan Output,binary-input,"<binary-input,     193>",Estat Velocitat Alta Ventilador
FC35\Low SpeedFan Output,binary-input,"<binary-input,     192>",Estat Velocitat Baixa Ventilador
FC35\Medium Speed Fan Output,binary-input,"<binary-input,     195>",Estat Velocitat Mitja Ventilador
FC35\Occupied Cool Setpoint,analog-input,"<analog-input,     183>",Consigna Real Ocupació Fred
FC35\Occupied Heat Setpoint,analog-input,"<analog-input,     182>",Consigna Real Ocupació Calor
FC35\Room Humidity,analog-input,"<analog-input,     181>",Humitat de Sala
FC35\Room Temperature,analog-input,"<analog-input,     180>",Temperatura de Sala
FC35\Selector,analog-output,"<analog-output,     240>","0:Off, 1:Detector, 2:Horari"
FC35\SelGenLoc,binary-output,"<binary-output,      58>","Consigna Aplicada, 0:General, 1:Local"
FC35\SelHorari,analog-output,"<analog-output,     241>",Selector Horari (1-20)
FC35\System Mode,multi-state-input,"<multi-state-input,      72>","Mode de funcionament 1:Off, 2:Auto, 3:Fred, 4:Calor"
FC36\CngaLocalE,analog-output,"<analog-output,     247>",Consigna Local Estiu
FC36\CngaLocalH,analog-output,"<analog-output,     246>",Consigna Local Hivern
FC36\Cooling Output,binary-input,"<binary-input,     198>",Estat Vàlvula
FC36\EffectOcc,multi-state-input,"<multi-state-input,      73>",Estat D'Ocupació
FC36\High Speed Fan Output,binary-input,"<binary-input,     197>",Estat Velocitat Alta Ventilador
FC36\Low SpeedFan Output,binary-input,"<binary-input,     196>",Estat Velocitat Baixa Ventilador
FC36\Medium Speed Fan Output,binary-input,"<binary-input,     199>",Estat Velocitat Mitja Ventilador
FC36\Occupied Cool Setpoint,analog-input,"<analog-input,     187>",Consigna Real Ocupació Fred
FC36\Occupied Heat Setpoint,analog-input,"<analog-input,     186>",Consigna Real Ocupació Calor
FC36\Room Humidity,analog-input,"<analog-input,     185>",Humitat de Sala
FC36\Room Temperature,analog-input,"<analog-input,     184>",Temperatura de Sala
FC36\Selector,analog-output,"<analog-output,     244>","0:Off, 1:Detector, 2:Horari"
FC36\SelGenLoc,binary-output,"<binary-output,      59>","Consigna Aplicada, 0:General, 1:Local"
FC36\SelHorari,analog-output,"<analog-output,     245>",Selector Horari (1-20)
FC36\System Mode,multi-state-input,"<multi-state-input,      74>","Mode de funcionament 1:Off, 2:Auto, 3:Fred, 4:Calor"
FC37\CngaLocalE,analog-output,"<analog-output,     251>",Consigna Local Estiu
FC37\CngaLocalH,analog-output,"<analog-output,     250>",Consigna Local Hivern
FC37\Cooling Output,binary-input,"<binary-input,     202>",Estat Vàlvula
FC37\EffectOcc,multi-state-input,"<multi-state-input,      75>",Estat D'Ocupació
FC37\High Speed Fan Output,binary-input,"<binary-input,     201>",Estat Velocitat Alta Ventilador
FC37\Low SpeedFan Output,binary-input,"<binary-input,     200>",Estat Velocitat Baixa Ventilador
FC37\Medium Speed Fan Output,binary-input,"<binary-input,     203>",Estat Velocitat Mitja Ventilador
FC37\Occupied Cool Setpoint,analog-input,"<analog-input,     191>",Consigna Real Ocupació Fred
FC37\Occupied Heat Setpoint,analog-input,"<analog-input,     190>",Consigna Real Ocupació Calor
FC37\Room Humidity,analog-input,"<analog-input,     189>",Humitat de Sala
FC37\Room Temperature,analog-input,"<analog-input,     188>",Temperatura de Sala
FC37\Selector,analog-output,"<analog-output,     248>","0:Off, 1:Detector, 2:Horari"
FC37\SelGenLoc,binary-output,"<binary-output,      60>","Consigna Aplicada, 0:General, 1:Local"
FC37\SelHorari,analog-output,"<analog-output,     249>",Selector Horari (1-20)
FC37\System Mode,multi-state-input,"<multi-state-input,      76>","Mode de funcionament 1:Off, 2:Auto, 3:Fred, 4:Calor"
FC38\CngaLocalE,analog-output,"<analog-output,     255>",Consigna Local Estiu
FC38\CngaLocalH,analog-output,"<analog-output,     254>",Consigna Local Hivern
FC38\Cooling Output,binary-input,"<binary-input,     206>",Estat Vàlvula
FC38\EffectOcc,multi-state-input,"<multi-state-input,      77>",Estat D'Ocupació
FC38\High Speed Fan Output,binary-input,"<binary-input,     205>",Estat Velocitat Alta Ventilador
FC38\Low SpeedFan Output,binary-input,"<binary-input,     204>",Estat Velocitat Baixa Ventilador
FC38\Medium Speed Fan Output,binary-input,"<binary-input,     207>",Estat Velocitat Mitja Ventilador
FC38\Occupied Cool Setpoint,analog-input,"<analog-input,     195>",Consigna Real Ocupació Fred
FC38\Occupied Heat Setpoint,analog-input,"<analog-input,     194>",Consigna Real Ocupació Calor
FC38\Room Humidity,analog-input,"<analog-input,     193>",Humitat de Sala
FC38\Room Temperature,analog-input,"<analog-input,     192>",Temperatura de Sala
FC38\Selector,analog-output,"<analog-output,     252>","0:Off, 1:Detector, 2:Horari"
FC38\SelGenLoc,binary-output,"<binary-output,      61>","Consigna Aplicada, 0:General, 1:Local"
FC38\SelHorari,analog-output,"<analog-output,     253>",Selector Horari (1-20)
FC38\System Mode,multi-state-input,"<multi-state-input,      78>","Mode de funcionament 1:Off, 2:Auto, 3:Fred, 4:Calor"
FC39\CngaLocalE,analog-output,"<analog-output,     112>",Consigna Local Estiu
FC39\CngaLocalH,analog-output,"<analog-output,     113>",Consigna Local Hivern
FC39\Cooling Output,binary-input,"<binary-input,      64>",Estat Vàlvula
FC39\EffectOcc,multi-state-input,"<multi-state-input,       7>",Estat D'Ocupació
FC39\High Speed Fan Output,binary-input,"<binary-input,      65>",Estat Velocitat Alta Ventilador
FC39\Low SpeedFan Output,binary-input,"<binary-input,      66>",Estat Velocitat Baixa Ventilador
FC39\Medium Speed Fan Output,binary-input,"<binary-input,      67>",Estat Velocitat Mitja Ventilador
FC39\Occupied Cool Setpoint,analog-input,"<analog-input,      52>",Consigna Real Ocupació Fred
FC39\Occupied Heat Setpoint,analog-input,"<analog-input,      53>",Consigna Real Ocupació Calor
FC39\Room Humidity,analog-input,"<analog-input,      54>",Humitat de Sala
FC39\Room Temperature,analog-input,"<analog-input,      55>",Temperatura de Sala
FC39\Selector,analog-output,"<analog-output,     115>","0:Off, 1:Detector, 2:Horari"
FC39\SelGenLoc,binary-output,"<binary-output,       3>","Consigna Aplicada, 0:General, 1:Local"
FC39\SelHorari,analog-output,"<analog-output,     114>",Selector Horari (1-20)
FC39\System Mode,multi-state-input,"<multi-state-input,       8>","Mode de funcionament 1:Off, 2:Auto, 3:Fred, 4:Calor"
FC40\CngaLocalE,analog-output,"<analog-output,     259>",Consigna Local Estiu
FC40\CngaLocalH,analog-output,"<analog-output,     258>",Consigna Local Hivern
FC40\Cooling Output,binary-input,"<binary-input,     210>",Estat Vàlvula
FC40\EffectOcc,multi-state-input,"<multi-state-input,      79>",Estat D'Ocupació
FC40\High Speed Fan Output,binary-input,"<binary-input,     209>",Estat Velocitat Alta Ventilador
FC40\Low SpeedFan Output,binary-input,"<binary-input,     208>",Estat Velocitat Baixa Ventilador
FC40\Medium Speed Fan Output,binary-input,"<binary-input,     211>",Estat Velocitat Mitja Ventilador
FC40\Occupied Cool Setpoint,analog-input,"<analog-input,     199>",Consigna Real Ocupació Fred
FC40\Occupied Heat Setpoint,analog-input,"<analog-input,     198>",Consigna Real Ocupació Calor
FC40\Room Humidity,analog-input,"<analog-input,     197>",Humitat de Sala
FC40\Room Temperature,analog-input,"<analog-input,     196>",Temperatura de Sala
FC40\Selector,analog-output,"<analog-output,     256>","0:Off, 1:Detector, 2:Horari"
FC40\SelGenLoc,binary-output,"<binary-output,      62>","Consigna Aplicada, 0:General, 1:Local"
FC40\SelHorari,analog-output,"<analog-output,     257>",Selector Horari (1-20)
FC40\System Mode,multi-state-input,"<multi-state-input,      80>","Mode de funcionament 1:Off, 2:Auto, 3:Fred, 4:Calor"
FC41\CngaLocalE,analog-output,"<analog-output,     263>",Consigna Local Estiu
FC41\CngaLocalH,analog-output,"<analog-output,     262>",Consigna Local Hivern
FC41\Cooling Output,binary-input,"<binary-input,     214>",Estat Vàlvula
FC41\EffectOcc,multi-state-input,"<multi-state-input,      81>",Estat D'Ocupació
FC41\High Speed Fan Output,binary-input,"<binary-input,     213>",Estat Velocitat Alta Ventilador
FC41\Low SpeedFan Output,binary-input,"<binary-input,     212>",Estat Velocitat Baixa Ventilador
FC41\Medium Speed Fan Output,binary-input,"<binary-input,     215>",Estat Velocitat Mitja Ventilador
FC41\Occupied Cool Setpoint,analog-input,"<analog-input,     203>",Consigna Real Ocupació Fred
FC41\Occupied Heat Setpoint,analog-input,"<analog-input,     202>",Consigna Real Ocupació Calor
FC41\Room Humidity,analog-input,"<analog-input,     201>",Humitat de Sala
FC41\Room Temperature,analog-input,"<analog-input,     200>",Temperatura de Sala
FC41\Selector,analog-output,"<analog-output,     260>","0:Off, 1:Detector, 2:Horari"
FC41\SelGenLoc,binary-output,"<binary-output,      63>","Consigna Aplicada, 0:General, 1:Local"
FC41\SelHorari,analog-output,"<analog-output,     261>",Selector Horari (1-20)
FC41\System Mode,multi-state-input,"<multi-state-input,      82>","Mode de funcionament 1:Off, 2:Auto, 3:Fred, 4:Calor"
FC42\CngaLocalE,analog-output,"<analog-output,     267>",Consigna Local Estiu
FC42\CngaLocalH,analog-output,"<analog-output,     266>",Consigna Local Hivern
FC42\Cooling Output,binary-input,"<binary-input,     218>",Estat Vàlvula
FC42\EffectOcc,multi-state-input,"<multi-state-input,      83>",Estat D'Ocupació
FC42\High Speed Fan Output,binary-input,"<binary-input,     217>",Estat Velocitat Alta Ventilador
FC42\Low SpeedFan Output,binary-input,"<binary-input,     216>",Estat Velocitat Baixa Ventilador
FC42\Medium Speed Fan Output,binary-input,"<binary-input,     219>",Estat Velocitat Mitja Ventilador
FC42\Occupied Cool Setpoint,analog-input,"<analog-input,     207>",Consigna Real Ocupació Fred
FC42\Occupied Heat Setpoint,analog-input,"<analog-input,     206>",Consigna Real Ocupació Calor
FC42\Room Humidity,analog-input,"<analog-input,     205>",Humitat de Sala
FC42\Room Temperature,analog-input,"<analog-input,     204>",Temperatura de Sala
FC42\Selector,analog-output,"<analog-output,     264>","0:Off, 1:Detector, 2:Horari"
FC42\SelGenLoc,binary-output,"<binary-output,      64>","Consigna Aplicada, 0:General, 1:Local"
FC42\SelHorari,analog-output,"<analog-output,     265>",Selector Horari (1-20)
FC42\System Mode,multi-state-input,"<multi-state-input,      84>","Mode de funcionament 1:Off, 2:Auto, 3:Fred, 4:Calor"
FC43\CngaLocalE,analog-output,"<analog-output,     271>",Consigna Local Estiu
FC43\CngaLocalH,analog-output,"<analog-output,     270>",Consigna Local Hivern
FC43\Cooling Output,binary-input,"<binary-input,     222>",Estat Vàlvula
FC43\EffectOcc,multi-state-input,"<multi-state-input,      85>",Estat D'Ocupació
FC43\High Speed Fan Output,binary-input,"<binary-input,     221>",Estat Velocitat Alta Ventilador
FC43\Low SpeedFan Output,binary-input,"<binary-input,     220>",Estat Velocitat Baixa Ventilador
FC43\Medium Speed Fan Output,binary-input,"<binary-input,     223>",Estat Velocitat Mitja Ventilador
FC43\Occupied Cool Setpoint,analog-input,"<analog-input,     211>",Consigna Real Ocupació Fred
FC43\Occupied Heat Setpoint,analog-input,"<analog-input,     210>",Consigna Real Ocupació Calor
FC43\Room Humidity,analog-input,"<analog-input,     209>",Humitat de Sala
FC43\Room Temperature,analog-input,"<analog-input,     208>",Temperatura de Sala
FC43\Selector,analog-output,"<analog-output,     268>","0:Off, 1:Detector, 2:Horari"
FC43\SelGenLoc,binary-output,"<binary-output,      65>","Consigna Aplicada, 0:General, 1:Local"
FC43\SelHorari,analog-output,"<analog-output,     269>",Selector Horari (1-20)
FC43\System Mode,multi-state-input,"<multi-state-input,      86>","Mode de funcionament 1:Off, 2:Auto, 3:Fred, 4:Calor"
ACL56\AMP L1,analog-input,"<analog-input,     212>",
ACL56\AMP L2,analog-input,"<analog-input,     213>",
ACL56\AMP L3,analog-input,"<analog-input,     214>",
ACL56\AMP N,analog-input,"<analog-input,     215>",
ACL56\Factor Potencia,analog-input,"<analog-input,     219>",
ACL56\kWh_Totals,analog-input,"<analog-input,     221>",
ACL56\Potencia,analog-input,"<analog-input,     220>",
ACL56\VOLT L1-N,analog-input,"<analog-input,     216>",
ACL56\VOLT L2-N,analog-input,"<analog-input,     217>",
ACL56\VOLT L3-N,analog-input,"<analog-input,     218>",
AGeneral\AMP L1,analog-input,"<analog-input,     222>",
AGeneral\AMP L2,analog-input,"<analog-input,     223>",
AGeneral\AMP L3,analog-input,"<analog-input,     224>",
AGeneral\AMP N,analog-input,"<analog-input,     225>",
AGeneral\Cos Phi,analog-input,"<analog-input,     226>",
AGeneral\Energia Activa kWh,analog-input,"<analog-input,     227>",
AGeneral\Energia Aparente kWh,analog-input,"<analog-input,     228>",
AGeneral\Energia Reactiva Capacitativa kWh,analog-input,"<analog-input,     229>",
AGeneral\Energia Reactiva Inductiva kWh,analog-input,"<analog-input,     230>",
AGeneral\fACTOR POTENCIA,analog-input,"<analog-input,     231>",
AGeneral\Potencia Capacitativa III kW,analog-input,"<analog-input,     232>",
AGeneral\Potencia III kW,analog-input,"<analog-input,     233>",
AGeneral\Potencia Inductiva III kW,analog-input,"<analog-input,     234>",
AGeneral\VOLT L1-N,analog-input,"<analog-input,     235>",
AGeneral\VOLT L2-N,analog-input,"<analog-input,     236>",
AGeneral\VOLT L3-N,analog-input,"<analog-input,     237>",
APlantaFred\AMP L1,analog-input,"<analog-input,     238>",
APlantaFred\AMP L2,analog-input,"<analog-input,     239>",
APlantaFred\AMP L3,analog-input,"<analog-input,     240>",
APlantaFred\AMP N,analog-input,"<analog-input,     241>",
APlantaFred\Factor Potencia,analog-input,"<analog-input,     245>",
APlantaFred\kWh_Totals,analog-input,"<analog-input,     247>",
APlantaFred\Potencia,analog-input,"<analog-input,     246>",
APlantaFred\VOLT L1-N,analog-input,"<analog-input,     242>",
APlantaFred\VOLT L2-N,analog-input,"<analog-input,     243>",
APlantaFred\VOLT L3-N,analog-input,"<analog-input,     244>",
Tª Exterior Zigbee,analog-input,"<analog-input,     248>",Tª Exterior Zigbee
Consum General GAS Zigbee,analog-input,"<analog-input,     249>",Consum de GAS en m3 Zigbee
HR Ambient PB Zigbee,analog-input,"<analog-input,     250>",HR Ambient PB Zigbee
HR Exterior Zigbee,analog-input,"<analog-input,     251>",HR Exterior Zigbee
Tª Ambient PB Zigbee,analog-input,"<analog-input,     252>",Tª Ambient PB Zigbee
Tª Diposit ACS Zigbee,analog-input,"<analog-input,     253>",Tª Diposit ACS Zigbee
